,Symbol
0,IMO
1,CBOE
2,PHYS
3,SIM
4,CEF
5,PSLV
6,BTG
7,SEB
8,GSAT
9,UEC
10,PRK
11,UTG
12,EQX
13,CLM
14,DNN
15,NHC
16,NGD
17,ORLA
18,CET
19,JWSM.U
20,EVV
21,IE
22,SILV
23,UUUU
24,FLYX
25,MAG
26,NG
27,SKYH
28,CRF
29,EIM
30,CATX
31,TMP
32,FAX
33,NFGC
34,LEU
35,REPX
36,OBE
37,GGN
38,TGB
39,SVM
40,TELL
41,AEON
42,ARMN
43,CIX
44,URG
45,IAUX
46,NSTB.U
47,PLM
48,NML
49,EAD
50,BHB
51,VKI
52,REI
53,VCXB.U
54,CYBN
55,FEN
56,EVI
57,SENS
58,ATEK.U
59,JWSM
60,AMBI
61,VZLA
62,EVE.U
63,MTA
64,GROY
65,BITE.U
66,WRN
67,ERC
68,RLGT
69,GAU
70,FTF
71,AEF
72,GENC
73,ATNM
74,EVM
75,SLND
76,LCTX
77,FSP
78,MYND
79,GLO
80,OZ
81,GTE
82,DHY
83,STXS
84,LEGT.U
85,SLI
86,CMCL
87,NHS
88,SACH
89,ELLO
90,EPM
91,EMX
92,NBH
93,NEN
94,CTGO
95,INFU
96,ESBA
97,NEWP
98,DC
99,ADRT.U
100,ENX
101,EVE
102,CMT
103,CIK
104,EVBN
105,NAK
106,GLDG
107,NRO
108,ELMD
109,ACU
110,THM
111,VCXB
112,EP
113,DMF
114,XTNT
115,INTT
116,ARMP
117,VFL
118,ZOM
119,ATEK
120,ELA
121,GLQ
122,FRD
123,DIT
124,PLG
125,RYDE
126,MPTI
127,ECF
128,SPPP
129,MPU
130,IDR
131,TRX
132,IAF
133,CVM
134,MYO
135,PCG PR A
136,MHH
137,CHAA
138,PLX
139,HNW
140,SOAR
141,BLUA
142,BATL
143,BCV
144,ERH
145,BITE
146,GLU
147,BACA
148,GGN PR B
149,ASM
150,ASXC
151,AXIL
152,TMQ
153,CEV
154,PED
155,GLV
156,DPSI
157,ESP
158,APT
159,FCO
160,DMYY.U
161,AE
162,VGZ
163,BHM
164,ITRG
165,IOR
166,VNRX
167,MTNB
168,FURY
169,PMNT
170,KNW
171,SATX
172,MGLD
173,INUV
174,BRBS
175,USAS
176,GLU PR B
177,STRW
178,CCEL
179,BKTI
180,BEEP
181,MLSS
182,OGCP
183,NTIP
184,SACH PR A
185,TOON
186,BGI
187,ISDR
188,BDL
189,GLU PR A
190,LODE
191,XPL
192,GNS
193,DMYY
194,ADRT
195,AREN
196,ZDGE
197,JOB
198,MRT
199,GRF
200,COE
201,RVP
202,GORO
203,PCG PR D
204,LGL
205,AGE
206,HWM PR
207,CVU
208,MI
209,MAIA
210,LPTV
211,SVT
212,UAMY
213,WWR
214,INLX
215,BCV PR A
216,KULR
217,SDPI
218,ECF PR A
219,CKX
220,TRT
221,LSF
222,PTN
223,DDC
224,FISK
225,PCG PR B
226,BRN
227,PZG
228,FSI
229,CLDI
230,WYY
231,DLA
232,INDO
233,SBEV
234,IGC
235,CEI
236,PLAG
237,BMTX
238,MXC
239,SIF
240,AIM
241,AAU
242,SYNX
243,NRXS
244,ATCH
245,AUST
246,PCG PR E
247,PHGE
248,OPTT
249,AMS
250,GRFX
251,CHRO
252,AIRI
253,CTM
254,UMAC
255,NCL
256,CVR
257,HUSA
258,PCG PR G
259,COHN
260,NNVC
261,DSS
262,IHT
263,PAPL
264,AULT
265,CANF
266,RCG
267,MSN
268,VINE
269,TOVX
270,PCG PR H
271,MWG
272,BLUA.U
273,TPHS
274,HNRA
275,AAMC
276,SGE
277,AWX
278,AULT PR D
279,MIMO
280,VHAI
281,PCG PR C
282,PCG PR I
283,KIQ
284,AZTR
285,AINC
286,MITQ
287,ENSV
288,OGEN
289,SCPX
290,BTTR
291,BURU
292,AMBO
293,SGN
294,UAVS
295,GBR
296,SSY
297,EFSH
298,RHE
299,AUMN
300,CPHI
301,VTAK
302,TPET
303,POL
304,IBIO
305,ID
306,YCBD PR A
307,UUU
308,FOXO
309,ITP
310,PHGE.U
311,YCBD
312,PW
313,AMPE
314,DXF
315,BQ
316,NBY
317,PW PR A
318,RHE PR A
319,SING
320,IPB
321,TELZ
322,LNFA.U
323,AMDI
