,Code
0,247540
1,086520
2,028300
3,196170
4,068760
5,403870
6,348370
7,277810
8,058470
9,065350
10,112040
11,005290
12,357780
13,035900
14,039030
15,214150
16,067630
17,145020
18,000250
19,141080
20,293490
21,263750
22,095340
23,240810
24,041510
25,328130
26,237690
27,281740
28,036930
29,121600
30,417200
31,035760
32,078600
33,067160
34,393890
35,098460
36,383310
37,096530
38,067310
39,253450
40,025900
41,047920
42,298380
43,034230
44,064760
45,036830
46,140410
47,214370
48,399720
49,950160
50,089030
51,365340
52,140860
53,039200
54,085660
55,195940
56,166090
57,086900
58,101490
59,213420
60,137400
61,222800
62,009520
63,222080
64,031980
65,036540
66,084370
67,214450
68,178320
69,056190
70,278280
71,078130
72,225570
73,025320
74,080220
75,074600
76,418550
77,122870
78,319660
79,420770
80,048410
81,440110
82,131970
83,003380
84,015750
85,115450
86,064550
87,199800
88,041190
89,183300
90,348210
91,336570
92,086450
93,204270
94,372170
95,058970
96,352480
97,144510
98,101360
99,376300
100,119860
101,445090
102,058610
103,317330
104,394280
105,053800
106,131290
107,136510
108,310210
109,253590
110,215200
111,257720
112,460930
113,272290
114,232140
115,079370
116,256840
117,032500
118,378340
119,095500
120,018290
121,189300
122,046890
123,094360
124,215600
125,039440
126,060280
127,025980
128,287410
129,360070
130,091120
131,290690
132,099190
133,358570
134,069080
135,228760
136,200710
137,053610
138,049070
139,033100
140,060250
141,114190
142,078340
143,194480
144,290650
145,179900
146,005160
147,087010
148,030520
149,108860
150,036810
151,215000
152,235980
153,053030
154,299030
155,032190
156,437730
157,237880
158,093320
159,323990
160,095660
161,335890
162,084850
163,064290
164,007390
165,372320
166,082270
167,092040
168,425420
169,083450
170,101730
171,338220
172,091700
173,206650
174,243840
175,043150
176,104830
177,006730
178,054450
179,389020
180,119610
181,042000
182,200130
183,068240
184,082920
185,033640
186,432720
187,299900
188,330860
189,218410
190,230360
191,340570
192,083310
193,348340
194,101160
195,243070
196,425040
197,095610
198,122640
199,270520
200,405100
201,059090
202,041830
203,099430
204,117730
205,110990
206,114810
207,050890
208,095700
209,034950
210,416180
211,094170
212,297890
213,089970
214,171090
215,319400
216,397030
217,252990
218,033500
219,044490
220,039840
221,041020
222,099320
223,056080
224,101670
225,089010
226,118990
227,102710
228,090360
229,151860
230,108490
231,357550
232,166480
233,241710
234,018310
235,060720
236,148150
237,217330
238,013030
239,023160
240,278650
241,029960
242,206640
243,086390
244,443670
245,047310
246,402030
247,061970
248,094480
249,270660
250,126700
251,035600
252,051980
253,441270
254,025770
255,161580
256,439090
257,304100
258,123860
259,014620
260,038500
261,322310
262,051370
263,200670
264,174900
265,060150
266,265520
267,045100
268,448280
269,136480
270,114840
271,042600
272,267980
273,054950
274,445680
275,047560
276,027360
277,217270
278,307750
279,030530
280,036220
281,100790
282,092870
283,036620
284,058820
285,108230
286,254490
287,033160
288,089980
289,079810
290,035890
291,083790
292,031330
293,298830
294,023410
295,382840
296,334970
297,024850
298,080160
299,041960
300,282880
301,452430
302,102940
303,214430
304,077360
305,066790
306,083650
307,138580
308,003800
309,079940
310,089890
311,263720
312,051500
313,064260
314,107600
315,950130
316,048870
317,146320
318,100120
319,102120
320,032620
321,084110
322,217820
323,036200
324,199430
325,036030
326,064800
327,417010
328,251970
329,052020
330,049950
331,205470
332,092070
333,354320
334,048530
335,091580
336,356860
337,126340
338,204620
339,226950
340,228670
341,078350
342,121800
343,083930
344,214680
345,052400
346,073570
347,216080
348,034810
