,Code
0,005930
1,000660
2,373220
3,207940
4,005935
5,005380
6,000270
7,068270
8,005490
9,006400
10,051910
11,105560
12,028260
13,035420
14,055550
15,012330
16,003670
17,035720
18,032830
19,086790
20,138040
21,000810
22,066570
23,015760
24,003550
25,034730
26,323410
27,018260
28,024110
29,033780
30,259960
31,034020
32,316140
33,096770
34,017670
35,329180
36,009150
37,011200
38,402340
39,450080
40,030200
41,047050
42,012450
43,042660
44,010130
45,042700
46,009540
47,010950
48,352820
49,022100
50,003490
51,010140
52,326030
53,005830
54,001570
55,086280
56,090430
57,161390
58,066970
59,000100
60,454910
61,051900
62,005387
63,267260
64,088980
65,267250
66,005070
67,361610
68,241560
69,377300
70,011170
71,251270
72,006800
73,028050
74,047810
75,302440
76,078930
77,009830
78,029780
79,011070
80,004020
81,011790
82,032640
83,097950
84,128940
85,005940
86,036570
87,021240
88,307950
89,071050
90,011780
91,034220
92,180640
93,005385
94,000720
95,016360
96,079550
97,271560
98,035250
99,006260
100,039490
101,003410
102,001040
103,064350
104,272210
105,018880
106,001450
107,004990
108,008930
109,088350
110,010120
111,000120
112,138930
113,175330
114,010620
115,383220
116,052690
117,036460
118,002380
119,000150
120,081660
121,014680
122,007660
123,028670
124,298040
125,051915
126,012750
127,008770
128,002790
129,007070
130,112610
131,004370
132,000880
133,020150
134,030000
135,023530
136,457190
137,282330
138,000990
139,009420
140,278470
141,111770
142,139480
143,010060
144,006040
145,026960
146,002710
147,042670
148,073240
149,051600
150,011210
151,004170
152,017800
153,047040
154,007310
155,204320
156,005850
157,298050
158,000240
159,139130
160,014820
161,137310
162,005420
163,006280
164,145720
165,185750
166,000080
167,003230
168,375500
169,069620
170,003690
171,001740
172,018670
173,006110
174,103140
175,003620
176,012510
177,336260
178,006360
179,108320
180,298020
181,001440
182,009970
183,248070
184,192820
185,004000
186,004800
187,294870
188,353200
189,003090
190,005300
191,069960
192,009240
193,267270
194,285130
195,280360
196,004490
197,000210
198,395400
199,039130
200,161890
201,120110
202,008730
203,082640
204,089860
205,001120
206,023590
207,003030
208,336370
209,017860
210,281820
211,003850
212,192080
213,365550
214,001800
215,003540
216,103590
217,000670
218,271940
219,010780
220,003530
221,214320
222,000400
223,181710
224,089590
225,002840
226,001430
227,082740
228,006650
229,006120
230,007340
231,195870
232,300720
233,105630
234,020560
235,005250
236,009900
237,069260
238,002350
239,348950
240,085620
241,330590
242,003240
243,000815
244,100090
245,066575
246,093370
247,001060
248,009450
249,192650
250,456040
251,114090
252,000640
253,161000
254,016380
255,403550
256,005440
257,032350
258,079160
259,268280
260,001680
261,019170
262,192400
263,001530
264,064960
265,025540
266,344820
267,178920
268,003280
269,001720
270,030190
271,170900
272,049770
273,381970
274,293940
275,057050
276,030610
277,272450
278,007700
279,005880
280,000070
281,090460
282,031430
283,286940
284,033240
285,460860
286,000370
287,229640
288,091810
289,017960
290,034120
291,003470
292,003570
293,210980
294,200880
295,002240
296,00680K
297,950210
298,383800
299,005180
300,002030
301,900140
302,012630
303,005610
304,284740
305,011930
306,145990
307,014830
308,017940
309,377740
310,001725
311,020000
312,003000
313,034310
314,241590
315,001470
316,097520
317,249420
318,058650
319,357120
320,071320
321,007810
322,007460
323,018250
324,123890
325,001940
326,093050
327,003920
328,432320
329,003545
330,009290
331,183190
332,029530
333,002310
334,006405
335,016800
336,006220
337,005690
338,010690
339,001390
340,448730
341,453340
342,004690
343,104700
344,003300
345,001200
346,017810
347,094800
348,306200
349,033270
350,003520
351,126560
352,005389
353,00104K
354,084690
355,075580
356,027410
357,000680
358,451800
359,060980
360,025860
361,004380
362,090435
363,001780
364,108670
365,004700
366,093230
367,002320
368,011500
369,051905
370,001340
371,004430
372,007690
373,000490
374,00088K
375,001820
376,003220
377,000430
378,036530
379,126720
380,071970
381,003960
382,005090
383,298690
384,002960
385,005950
386,084010
387,012030
388,072710
389,004560
390,088260
391,001630
392,003580
393,077970
394,001460
395,026890
396,024720
397,058430
398,001500
399,003120
400,092220
401,102460
402,001510
403,005810
404,122900
405,017390
406,006390
407,452260
408,029460
409,071055
410,000480
411,000540
412,138490
413,005010
414,084680
415,009160
416,005500
417,272550
418,001790
419,000155
420,097230
421,011810
422,003160
423,007860
424,013890
425,095720
426,007570
427,005390
428,037270
429,001270
430,016580
431,115390
432,037560
433,009680
434,000020
435,053210
436,008490
437,000390
438,001230
439,036420
440,002150
441,016590
442,002900
443,034830
444,226320
445,018470
446,035150
447,002810
448,322000
449,008350
450,271980
451,213500
452,293480
453,130660
454,092230
455,037710
456,450140
457,096760
458,011280
459,334890
460,011760
461,015360
462,019680
463,298000
464,004360
465,000050
466,001520
467,377190
468,194370
469,071840
470,117580
471,404990
472,008060
473,102260
474,001250
475,002020
476,005945
477,025000
478,005720
479,015860
480,001130
481,095570
482,068290
483,030210
484,000500
485,462520
486,109070
487,090350
488,003200
489,009155
490,011785
491,035510
492,039570
493,004980
494,000140
495,014160
496,006840
497,004710
498,074610
499,339770
500,011000
501,417310
502,010955
503,234080
504,083420
505,081000
506,460850
507,003555
508,002100
509,002390
510,001080
511,092200
512,02826K
513,020120
514,027970
515,007160
516,016610
517,044450
518,006060
519,267850
520,092790
521,011330
522,012320
523,009580
524,016450
525,005680
526,053690
527,010580
528,100250
529,028100
530,097955
531,004250
532,105840
533,000520
534,107590
535,010660
536,100840
537,002620
538,015890
539,077500
540,005430
541,139990
542,136490
543,003070
544,014280
545,001360
546,214390
547,010100
548,363280
549,011700
550,078520
551,128820
552,033530
553,002990
554,009470
555,282690
556,004830
557,014580
558,317400
559,001020
560,101530
561,010820
562,004090
563,000320
564,058850
565,015230
566,007210
567,008700
568,003547
569,025820
570,024900
571,134380
572,079430
573,013570
574,000860
575,003830
576,017370
577,002170
578,400760
579,016710
580,089470
581,006890
582,000970
583,012610
584,000700
585,033920
586,002780
587,031440
588,111380
589,094280
590,210540
591,007540
592,070960
593,003060
594,000180
595,002720
596,004970
597,001045
598,001750
599,003650
600,004080
601,017900
602,006490
603,008040
604,008260
605,079980
606,011690
607,063160
608,002210
609,214330
610,012170
611,003720
612,214420
613,396690
614,014530
615,009270
616,00279K
617,016740
618,012800
619,017550
620,002700
621,003460
622,372910
623,024090
624,023800
625,004840
626,004150
627,248170
628,004310
629,013580
630,055490
631,120030
632,006880
633,163560
634,002200
635,033180
636,010040
637,009070
638,019440
639,032560
640,005960
641,047400
642,002450
643,012600
644,023000
645,267290
646,036580
647,012690
648,034590
649,003350
650,067830
651,350520
652,001380
653,004890
654,000230
655,023450
656,007280
657,004720
658,006340
659,264900
660,017040
661,096775
662,078000
663,035000
664,023810
665,002600
666,006740
667,058860
668,015590
669,002460
670,004140
671,011150
672,227840
673,123690
674,009190
675,005870
676,016880
677,003480
678,013520
679,044820
680,004100
681,101140
682,092440
683,145210
684,004540
685,007980
686,031820
687,009200
688,009410
689,006370
690,244920
691,011300
692,003925
693,005740
694,003610
695,004060
696,000220
697,016090
698,001560
699,007590
700,018500
701,009810
702,003780
703,005800
704,308170
705,034300
706,204210
707,03473K
708,021820
709,013870
710,010960
711,33626K
712,357430
713,007110
714,008970
715,118000
716,006090
717,000910
718,357250
719,001290
720,010600
721,378850
722,338100
723,004960
724,000850
725,004770
726,002140
727,041650
728,075180
729,000105
730,004910
731,024890
732,014790
733,000590
734,017180
735,002760
736,011230
737,027740
738,058730
739,003010
740,119650
741,002920
742,085310
743,002220
744,069460
745,013360
746,102280
747,004270
748,011420
749,111110
750,000890
751,013700
752,078935
753,000157
754,014440
755,009180
756,002360
757,000650
758,129260
759,100220
760,155660
761,008110
762,006660
763,001550
764,004450
765,002630
766,010640
767,004410
768,001275
769,090080
770,019180
771,001620
772,026940
773,001260
774,008250
775,025750
776,008870
777,021050
778,071090
779,023350
780,009770
781,005750
782,002795
783,009320
784,120115
785,008420
786,011390
787,006805
788,009440
789,006980
790,014710
791,465770
792,002880
793,069640
794,004920
795,069730
796,092780
797,28513K
798,025560
799,003560
800,003080
801,123700
802,025530
803,014130
804,143210
805,049800
806,005360
807,009835
808,004440
809,091090
810,014990
811,007610
812,134790
813,005305
814,446070
815,000725
816,012160
817,37550L
818,009460
819,090370
820,004870
821,023960
822,145270
823,020760
824,051630
825,015260
826,33637K
827,072130
828,012200
829,012280
830,023150
831,013000
832,006570
833,033250
834,000760
835,006200
836,010770
837,133820
838,009310
839,000215
840,005320
841,006125
842,003535
843,005820
844,019175
845,002410
846,093240
847,003465
848,37550K
849,001070
850,000950
851,001465
852,002690
853,024070
854,005030
855,010400
856,003680
857,019685
858,003475
859,008600
860,007120
861,009140
862,002070
863,084670
864,014910
865,084870
866,008775
867,002420
868,001420
869,000040
870,002820
871,030720
872,015020
873,000300
874,025620
875,044380
876,025890
877,011090
878,006380
879,00499K
880,001140
881,002870
882,001210
883,019490
884,004365
885,003495
886,088790
887,005110
888,001685
889,010420
890,33626L
891,152550
892,001770
893,005257
894,084695
895,108675
896,002355
897,007815
898,35320K
899,168490
900,004835
901,030790
902,001795
903,000087
904,33637L
905,000075
906,004105
907,071950
908,008500
909,000885
910,004255
911,45014K
912,002025
913,140910
914,18064K
915,38380K
916,001067
917,000225
918,005725
919,001065
920,145995
921,003075
922,45226K
923,001515
924,004985
925,00806K
926,26490K
927,000325
928,001755
929,006345
930,090355
931,36328K
932,014825
933,007575
934,008355
935,000545
936,005745
937,00781K
938,000145
939,004545
940,014285
941,005965
942,009415
943,012205
944,011155
945,004415
946,000227
947,014915
948,002787
949,001525
950,002785
951,002995
952,001527
