,Symbol
0,MSFT
1,AAPL
2,NVDA
3,AMZN
4,META
5,GOOGL
6,GOOG
7,AVGO
8,TSLA
9,ASML
10,COST
11,AMD
12,NFLX
13,PEP
14,ADBE
15,LIN
16,AZN
17,CSCO
18,TMUS
19,QCOM
20,INTU
21,INTC
22,PDD
23,CMCSA
24,AMAT
25,TXN
26,AMGN
27,ISRG
28,ARM
29,HON
30,LRCX
31,BKNG
32,SNY
33,ABNB
34,VRTX
35,MU
36,REGN
37,SBUX
38,ADP
39,MDLZ
40,ADI
41,KLAC
42,GILD
43,PANW
44,SNPS
45,CDNS
46,CRWD
47,EQIX
48,MELI
49,CME
50,CSX
51,MAR
52,WDAY
53,PYPL
54,NTES
55,ORLY
56,CTAS
57,PCAR
58,MNST
59,COIN
60,NXPI
61,ROP
62,LULU
63,MRVL
64,ADSK
65,DASH
66,CEG
67,CPRT
68,SMCI
69,FTNT
70,DXCM
71,TEAM
72,ROST
73,MCHP
74,CHTR
75,ODFL
76,IBKR
77,FAST
78,PAYX
79,JD
80,IDXX
81,AEP
82,KHC
83,GEHC
84,KDP
85,DDOG
86,TTD
87,MRNA
88,CSGP
89,CTSH
90,CINF
91,EXC
92,BIDU
93,LI
94,EA
95,NDAQ
96,ACGL
97,FANG
98,VRSK
99,CDW
100,BKR
101,RYAAY
102,CCEP
103,MPWR
104,ON
105,BIIB
106,ANSS
107,ZS
108,XEL
109,GFS
110,TCOM
111,WTW
112,DLTR
113,TSCO
114,ICLR
115,SYM
116,EBAY
117,TROW
118,MSTR
119,MDB
120,ULTA
121,TTWO
122,FITB
123,ALGN
124,MBLY
125,APP
126,AXON
127,VOD
128,SBAC
129,FCNCA
130,PTC
131,KSPI
132,STLD
133,TW
134,DKNG
135,NTAP
136,BNTX
137,WBD
138,ERIE
139,ILMN
140,CELH
141,ARGX
142,ENTG
143,ZM
144,COO
145,JBHT
146,LPLA
147,PFG
148,WDC
149,GMAB
150,HBAN
151,CHKP
152,VRSN
153,EXPE
154,ALNY
155,STX
156,WBA
157,RPRX
158,OKTA
159,HOLX
160,NTRS
161,WMG
162,ERIC
163,SWKS
164,CG
165,AKAM
166,TPG
167,TER
168,HOOD
169,BGNE
170,FSLR
171,BMRN
172,SSNC
173,NICE
174,POOL
175,TRMB
176,LOGI
177,MANH
178,ENPH
179,NTNX
180,NDSN
181,SAIA
182,BSY
183,UAL
184,SIRI
185,ZBRA
186,HST
187,LECO
188,FWONK
189,VTRS
190,XP
191,NBIX
192,LKQ
193,GEN
194,INCY
195,MORN
196,BRKR
197,AZPN
198,GRAB
199,LNT
200,JKHY
201,HTHT
202,GLPI
203,MEDP
204,PAA
205,ARCC
206,DOCU
207,EVRG
208,LAMR
209,SRPT
210,PODD
211,CASY
212,AFRM
213,FIVE
214,FLEX
215,VFS
216,EXAS
217,MNDY
218,TECH
219,CHK
220,CYBR
221,NTRA
222,WYNN
223,UTHR
224,REG
225,RIVN
226,RGEN
227,QRVO
228,LEGN
229,DOX
230,OTEX
231,SWAV
232,LSCC
233,EWBC
234,TXRH
235,FFIV
236,WING
237,APA
238,CART
239,DUOL
240,CFLT
241,NWSA
242,TTEK
243,MTCH
244,HSIC
245,AAL
246,PCTY
247,ALAB
248,ROKU
249,LNW
250,SEIC
251,ESLT
252,CZR
253,GTLB
254,WWD
255,WSC
256,CHDN
257,CHRW
258,BZ
259,CROX
260,WFRD
261,GNTX
262,Z
263,DBX
264,MKSI
265,NXT
266,ASND
267,MKTX
268,APPF
269,MIDD
270,ETSY
271,WIX
272,COKE
273,ROIV
274,FUTU
275,PPC
276,DSGX
277,JAZZ
278,AMKR
279,VKTX
280,CERE
281,LYFT
282,OLED
283,PARA
284,FSV
285,HAS
286,PCVX
287,IEP
288,RGLD
289,UFPI
290,FOXA
291,CCCS
292,SOFI
293,EXEL
294,MMYT
295,ACHC
296,CHRD
297,CGNX
298,MASI
299,LBRDK
300,HQY
301,ENSG
302,AAON
303,CYTK
304,CACC
305,XRAY
306,MAT
307,ALTR
308,YNDX
309,SPSC
310,MTSI
311,AGNC
312,APLS
313,CBSH
314,LSTR
315,VNOM
316,RMBS
317,SAIC
318,CHX
319,ITCI
320,FOX
321,LCID
322,PNFP
323,FTAI
324,SFM
325,NFE
326,SIGI
327,LSXMK
328,NOVT
329,IONS
330,QLYS
331,BPOP
332,GLBE
333,ZION
334,WTFC
335,ZI
336,MARA
337,NSIT
338,CIGI
339,BECN
340,REYN
341,RRR
342,CRSP
343,HLNE
344,DRS
345,LFUS
346,BOKF
347,TENB
348,FYBR
349,OPCH
350,CWST
351,LANC
352,NXST
353,FRSH
354,RCM
355,HCP
356,FCFS
357,PEGA
358,BPMC
359,FRPT
360,VRNS
361,ALGM
362,MDGL
363,ASO
364,BBIO
365,STNE
366,BRZE
367,NVMI
368,EXLS
369,LOT
370,HALO
371,RVMD
372,NWS
373,NUVL
374,BILI
375,BCPC
376,EEFT
377,OZK
378,ONB
379,COOP
380,DOOO
381,CRUS
382,SRCL
383,KRYS
384,ACT
385,PTEN
386,FELE
387,FROG
388,OLLI
389,COLM
390,UBSI
391,SLM
392,DLO
393,ALKS
394,VERX
395,ESGR
396,IMVT
397,IAC
398,FIVN
399,TXG
400,FIZZ
401,IPAR
402,FFIN
403,SBNY
404,CRVL
405,FRHC
406,CVLT
407,PECO
408,AVT
409,MMSI
410,SLAB
411,AVAV
412,IOVA
413,CNXC
414,CAR
415,IPGP
416,ITRI
417,EXPO
418,ALVO
419,URBN
420,LNTH
421,LOPE
422,IBRX
423,VRRM
424,BGC
425,CLSK
426,NVEI
427,POWI
428,IQ
429,RELY
430,VLY
431,UMBF
432,INSM
433,COLB
434,BL
435,ACLX
436,RARE
437,TRIP
438,STEP
439,SYNA
440,APGE
441,BLKB
442,WEN
443,HWC
444,SATS
445,AUR
446,WIRE
447,SEDG
448,AXSM
449,GT
450,CBAY
451,SWTX
452,ACLS
453,TSEM
454,CSWI
455,ALRM
456,CAMT
457,PCH
