,Symbol
0,LLY
1,TSM
2,V
3,JPM
4,BRK.B
5,WMT
6,UNH
7,MA
8,XOM
9,NVO
10,PG
11,HD
12,JNJ
13,ORCL
14,BRK.A
15,TM
16,MRK
17,ABBV
18,CRM
19,BAC
20,CVX
21,KO
22,ACN
23,SAP
24,TMO
25,SHEL
26,DIS
27,MCD
28,WFC
29,NVS
30,ABT
31,GE
32,BABA
33,DHR
34,CAT
35,IBM
36,VZ
37,AXP
38,UBER
39,TTE
40,NOW
41,PFE
42,BX
43,NKE
44,UNP
45,MS
46,HSBC
47,BHP
48,PM
49,LOW
50,COP
51,RY
52,HDB
53,SPGI
54,SYK
55,UPS
56,GS
57,NEE
58,SCHW
59,RTX
60,ETN
61,UL
62,T
63,BLK
64,MUFG
65,PGR
66,ELV
67,PLD
68,C
69,BA
70,TJX
71,MDT
72,SONY
73,DE
74,UBS
75,BP
76,TD
77,LMT
78,BMY
79,CB
80,SHOP
81,CI
82,BUD
83,MMC
84,CVS
85,BSX
86,STLA
87,ANET
88,IBN
89,FI
90,AMT
91,KKR
92,HCA
93,SHW
94,GSK
95,WM
96,CNI
97,RACE
98,CP
99,RELX
100,DEO
101,MO
102,ITW
103,RIO
104,SCCO
105,EQNR
106,CMG
107,CNQ
108,TGT
109,DELL
110,INFY
111,ZTS
112,SLB
113,ICE
114,GD
115,SMFG
116,ENB
117,SO
118,DUK
119,EOG
120,CL
121,SAN
122,MPC
123,MCO
124,TRI
125,NOC
126,PH
127,MCK
128,BMO
129,BN
130,BDX
131,TT
132,PSX
133,USB
134,BTI
135,TDG
136,BBVA
137,APH
138,FCX
139,ECL
140,FDX
141,AON
142,EMR
143,APO
144,EPD
145,BNS
146,PNC
147,HMC
148,MMM
149,AMX
150,PXD
151,CRH
152,RSG
153,NSC
154,NU
155,MSI
156,VLO
157,OXY
158,EW
159,PBR
160,AJG
161,AZO
162,PLTR
163,COF
164,SNOW
165,VALE
166,APD
167,HLT
168,MET
169,WELL
170,ING
171,ET
172,CARR
173,DHI
174,EL
175,AIG
176,SPOT
177,TRV
178,F
179,NGG
180,SPG
181,MFG
